Timestamp,UsageVolume,UsageType
2012-03-02 00:09:00,0.0196666666666662,Leak
2012-03-02 00:10:00,0.0196666666666662,Leak
2012-03-02 00:11:00,0.0196666666666662,Leak
2012-03-02 00:12:00,0.0,None
2012-03-02 00:13:00,0.0,None
2012-03-02 00:14:00,0.0,None
2012-03-02 00:15:00,0.0,None
2012-03-02 00:16:00,0.0,None
2012-03-02 00:17:00,0.0,None
2012-03-02 00:18:00,0.0,None
2012-03-02 00:19:00,0.0,None
2012-03-02 00:20:00,0.0,None
2012-03-02 00:21:00,0.0,None
2012-03-02 00:22:00,0.0,None
2012-03-02 00:23:00,0.0,None
2012-03-02 00:24:00,0.0,None
2012-03-02 00:25:00,0.012708333333333,Leak
2012-03-02 00:26:00,0.0152499999999996,Leak
2012-03-02 00:27:00,0.0152499999999996,Leak
2012-03-02 00:28:00,0.0152499999999996,Leak
2012-03-02 00:29:00,0.0025416666666666,Leak
2012-03-02 00:30:00,0.0,None
2012-03-02 00:31:00,0.0,None
2012-03-02 00:32:00,0.0,None
2012-03-02 00:33:00,0.0,None
2012-03-02 00:34:00,0.0,None
2012-03-02 00:35:00,0.0,None
2012-03-02 00:36:00,0.0,None
2012-03-02 00:37:00,0.0,None
2012-03-02 00:38:00,0.0,None
2012-03-02 00:39:00,0.0,None
2012-03-02 00:40:00,0.0,None
2012-03-02 00:41:00,0.0,None
2012-03-02 00:42:00,0.0,None
2012-03-02 00:43:00,0.0136470588235292,Leak
2012-03-02 00:44:00,0.0204705882352938,Leak
2012-03-02 00:45:00,0.0204705882352938,Leak
2012-03-02 00:46:00,0.0034117647058823,Leak
2012-03-02 00:47:00,0.0,None
2012-03-02 00:48:00,0.0,None
2012-03-02 00:49:00,0.0,None
2012-03-02 00:50:00,0.0,None
2012-03-02 00:51:00,0.0,None
2012-03-02 00:52:00,0.0,None
2012-03-02 00:53:00,0.0,None
2012-03-02 00:54:00,0.0,None
2012-03-02 00:55:00,0.0,None
2012-03-02 00:56:00,0.0,None
2012-03-02 00:57:00,0.0,None
2012-03-02 00:58:00,0.0,None
2012-03-02 00:59:00,0.0,None
2012-03-02 01:00:00,0.0,None
2012-03-02 01:01:00,0.0,None
2012-03-02 01:02:00,0.0,None
2012-03-02 01:03:00,0.0097999999999998,Leak
2012-03-02 01:04:00,0.0195999999999996,Leak
2012-03-02 01:05:00,0.0195999999999996,Leak
2012-03-02 01:06:00,0.0,None
2012-03-02 01:07:00,0.0,None
2012-03-02 01:08:00,0.0,None
2012-03-02 01:09:00,0.0,None
2012-03-02 01:10:00,0.0,None
2012-03-02 01:11:00,0.0,None
2012-03-02 01:12:00,0.0,None
2012-03-02 01:13:00,0.0,None
2012-03-02 01:14:00,0.0,None
2012-03-02 01:15:00,0.0,None
2012-03-02 01:16:00,0.0,None
2012-03-02 01:17:00,0.0,None
